count,item,construction
1,tātaki,ma-det-TA-V
1,tāmi,na-TA-V
1,tāmaki-makau-rau,na-TA-V
1,tākiri,na-TA-V
1,tākiri,ma-TA-V
1,tākina,na-TA-V
1,tutuki,na-TA-V
1,turaki,na-TA-V
1,turaki,ma-TA-V
1,tuku,ma-det-TA-V
1,tukutuku,ma-TA-V
1,tukua,na-TA-V
1,tuki,na-TA-V
1,tukituki,na-TA-V
1,tuhi,ma-det-TA-V
1,tuhituhi,na-TA-V
1,tuhituhi,ma-TA-V
1,tuha,na-TA-V
1,tuarua,na-TA-V
1,tope,na-TA-V
1,tono,ma-det-TA-V
1,tonotono,ma-TA-V
1,tohutohu,na-TA-V
1,tohi,na-det-TA-V
1,tohi,na-TA-V
1,tohe,na-TA-V
1,tohetohe,na-TA-V
1,toha,ma-TA-V
1,tohatoha,ma-det-TA-V
1,tohatoha,ma-TA-V
1,tito,na-TA-V
1,titiro,na-det-TA-V
1,tiro,ma-TA-V
1,tirotiro,na-TA-V
1,tipu,na-TA-V
1,tipu,ma-TA-V
1,tiki-rau,na-TA-V
1,tikitiki,ma-TA-V
1,tia,ma-TA-V
1,tiaki,na-det-TA-V
1,teka,na-TA-V
1,tautokotia,ma-TA-V
1,tautohetohe,na-TA-V
1,taupoki,ma-TA-V
1,taunga,ma-TA-V
1,taua,na-TA-V
1,taria,na-TA-V
1,tapahi,ma-TA-V
1,tao,ma-TA-V
1,tango,ma-TA-V
1,takutaku,na-TA-V
1,takoha,na-TA-V
1,taki,na-TA-V
1,takitaki,ma-TA-V
1,taka,na-TA-V
1,takawaenga,ma-TA-V
1,takatakahi,ma-TA-V
1,takai,na-det-TA-V
1,takahi,ma-det-TA-V
1,takahia,na-TA-V
1,tahuna,na-TA-V
1,tahitahi,ma-TA-V
1,taea,na-TA-V
1,rūātoki,na-TA-V
1,rūrū,ma-TA-V
1,rūkahu,ma-TA-V
1,rāhui,ma-det-TA-V
1,ruke,na-TA-V
1,rui,na-TA-V
1,ruia,na-TA-V
1,rewherī,na-TA-V
1,rere,ma-det-TA-V
1,rere,ma-TA-V
1,raupatu,na-TA-V
1,raru,na-TA-V
1,pūremutia,na-TA-V
1,pōhiri,ma-det-TA-V
1,pīra,ma-TA-V
1,pīrangi,ma-TA-V
1,pīkau,ma-TA-V
1,pērā,na-TA-V
1,pēnei,na-TA-V
1,pēhea,na-TA-V
1,pā,na-det-TA-V
1,pātukituki,ma-det-TA-V
1,pātai,na-TA-V
1,pāpaku,na-TA-V
1,pānui,na-TA-V
1,pānui,ma-TA-V
1,pupuri,na-TA-V
1,pupuhi,ma-TA-V
1,poa,ma-TA-V
1,piki,ma-TA-V
1,petihana,ma-TA-V
1,pei,ma-TA-V
1,patu,na-TA-V
1,patu,ma-det-TA-V
1,patapatai,na-TA-V
1,pare,na-TA-V
1,para,ma-TA-V
1,parau,na-TA-V
1,paopao,na-det-TA-V
1,panga,ma-TA-V
1,pakeke,na-TA-V
1,pakanga,ma-TA-V
1,pai,ma-TA-V
1,ora,ma-TA-V
1,oi,ma-det-TA-V
1,ohorere,na-TA-V
1,nohongia,na-TA-V
1,ngau,ma-TA-V
1,mātua,na-TA-V
1,mātorotoro,na-TA-V
1,mātakitaki,ma-TA-V
1,muri,na-det-TA-V
1,muri,ma-TA-V
1,mua,ma-TA-V
1,motu-ngangara,na-TA-V
1,morimori,na-det-TA-V
1,moe,na-TA-V
1,moe,ma-det-TA-V
1,moemoe,na-TA-V
1,mea,na-det-TA-V
1,mea,ma-det-TA-V
1,maunga-roa,na-TA-V
1,mate,na-TA-V
1,manawapā,ma-TA-V
1,manaaki,na-TA-V
1,mai,ma-TA-V
1,maha,ma-TA-V
1,kōkiri,na-det-TA-V
1,kōkiri,ma-TA-V
1,kīia,na-det-TA-V
1,kāwana,ma-det-TA-V
1,kui,ma-TA-V
1,kotiti,na-TA-V
1,kore,ma-TA-V
1,koneki,na-det-TA-V
1,koneki,na-TA-V
1,koha,na-TA-V
1,kitea,na-TA-V
1,kiri,ma-TA-V
1,kimihia,na-TA-V
1,kerēmu,ma-TA-V
1,keri,ma-TA-V
1,kawe,na-det-TA-V
1,kawe,ma-det-TA-V
1,kawea,ma-TA-V
1,kaute,ma-det-TA-V
1,kauparehia,ma-TA-V
1,kati,na-TA-V
1,kati,ma-TA-V
1,katia,na-TA-V
1,karo,ma-TA-V
1,kapi,ma-TA-V
1,kaiwhakahaere,ma-TA-V
1,kaitiaki,ma-det-TA-V
1,kainga,ma-TA-V
1,kaha,ma-TA-V
1,ihowa,ma-TA-V
1,hūpoki,na-TA-V
1,hūpoki,ma-TA-V
1,hī,ma-det-TA-V
1,hāngai,ma-TA-V
1,hāmenetia,na-TA-V
1,huti,na-TA-V
1,huri,na-TA-V
1,huripi,ma-TA-V
1,huna,ma-det-TA-V
1,huke,ma-TA-V
1,hui,ma-TA-V
1,hua,ma-TA-V
1,horoi,ma-det-TA-V
1,horoi,ma-TA-V
1,hora,ma-TA-V
1,hopu,na-TA-V
1,hopu,ma-TA-V
1,hono,na-TA-V
1,honohono,na-TA-V
1,homai,ma-det-TA-V
1,hoko,ma-det-TA-V
1,hoki,na-TA-V
1,hohou,na-TA-V
1,hoe,ma-det-TA-V
1,hinga,na-TA-V
1,hiki,na-TA-V
1,hiki,ma-det-TA-V
1,heri,na-TA-V
1,heri,ma-TA-V
1,here,ma-det-TA-V
1,heke,na-det-TA-V
1,hawaiki,na-TA-V
1,hautū,na-TA-V
1,hautū,ma-det-TA-V
1,hauhau,ma-TA-V
1,hanga,ma-det-TA-V
1,hangaia,na-TA-V
1,hahau,na-TA-V
1,haehae,na-TA-V
1,eke,ma-det-TA-V
1,awhi,ma-det-TA-V
1,aukati,na-TA-V
1,aukati,ma-TA-V
1,aua,na-det-TA-V
1,atawhai,ma-TA-V
1,arataki,ma-det-TA-V
1,anga,ma-TA-V
1,akona,na-TA-V
1,aituāngia,na-TA-V
1,ahu,na-TA-V
