konae,rarangi,kupu,root,suffix,nominal,double_passive
mbc230-not-stripped.txt,80,poroa,poro,a,no,no
mbc230-not-stripped.txt,80,fakahokia,fakahoki,a,no,no
mbc230-not-stripped.txt,73,kIia,kI,ia,no,no
mbc230-not-stripped.txt,90,waihoNia,waiho,Nia,no,no
mbc230-not-stripped.txt,90,waihoNia,waiho,Nia,no,no
mbc230-not-stripped.txt,1,nohotia,noho,tia,no,no
mbc230-not-stripped.txt,90,fakapANia,fakapA,Nia,no,no
mbc230-not-stripped.txt,71,tukuna,tuku,na,no,no
mbc230-not-stripped.txt,90,kOreroNia,kOrero,Nia,no,no
mbc230-not-stripped.txt,78,kitea,kite,a,no,no
mbc230-not-stripped.txt,78,kitea,kite,a,no,no
mbc230-not-stripped.txt,1,haria,hari,a,no,no
mbc230-not-stripped.txt,71,nOhia,noho,hia,no,no
mbc230-not-stripped.txt,12,kimihia,kimi,hia,no,no
mbc230-not-stripped.txt,90,kENia,kE,Nia,no,no
mbc230-not-stripped.txt,80,fakahokia,fakahoki,a,no,no
mbc230-not-stripped.txt,69,kIia,kI,ia,no,no
mbc230-not-stripped.txt,90,mahia,mahi,a,no,no
mbc230-not-stripped.txt,80,hokona,hoko,na,no,no
mbc230-not-stripped.txt,83,patua,patu,a,no,no
mbc230-not-stripped.txt,80,tuaputia,tuapu,tia,no,no
mbc230-not-stripped.txt,71,herea,here,a,no,no
mbc230-not-stripped.txt,83,tapahia,tapahi,a,no,no
mbc230-not-stripped.txt,83,tapatapahia,tapatapahi,a,no,no
mbc230-not-stripped.txt,83,patua,patu,a,no,no
mbc230-not-stripped.txt,90,kOreroNia,kOrero,Nia,no,no
mbc230-not-stripped.txt,71,kIia,kI,ia,no,no
mbc230-not-stripped.txt,75,kIia,kI,ia,no,no
mbc230-not-stripped.txt,69,heria,heri,a,no,no
mbc230-not-stripped.txt,67,meatia,mea,tia,no,no
mbc230-not-stripped.txt,69,hereheretia,herehere,tia,no,no
mbc230-not-stripped.txt,69,fakaemitia,fakaemi,tia,no,no
mbc230-not-stripped.txt,90,mahia,mahi,a,no,no
mbc238-not-stripped.txt,10,mahia,mahi,a,no,no
mbc238-not-stripped.txt,14,kitea,kite,a,no,no
mbc238-not-stripped.txt,12,utuNia,utu,Nia,no,no
mbc238-not-stripped.txt,14,firifiria,firifiri,a,no,no
mbc238-not-stripped.txt,16,kitea,kite,a,no,no
mbc238-not-stripped.txt,12,kitea,kite,a,no,no
mbc238-not-stripped.txt,12,kOrerotia,kOrero,tia,no,no
mbc044-not-stripped.txt,8,taea,tae,a,no,no
mbc044-not-stripped.txt,6,tAhaeNia,tAhae,Nia,no,no
mbc044-not-stripped.txt,8,fakahokiNia,fakahoki,Nia,no,no
mbc272-not-stripped.txt,85,tOtikatia,tOtika,tia,no,no
mbc271-not-stripped.txt,99,fakatUria,fakatU,ria,no,no
mbc271-not-stripped.txt,64,kitea,kite,a,no,no
mbc271-not-stripped.txt,31,fakaaetia,fakaae,tia,no,no
mbc052-not-stripped.txt,59,aukatitia,aukati,tia,no,no
mbc086-not-stripped.txt,18,kitea,kite,a,no,no
mbc054-not-stripped.txt,3,fakatUria,fakatU,ria,no,no
mbc116-not-stripped.txt,30,tukuna,tuku,na,no,no
mbc116-not-stripped.txt,28,kawea,kawe,a,no,no
mbc116-not-stripped.txt,26,mOhioNia,mOhio,Nia,no,no
mbc116-not-stripped.txt,30,tAria,tatari,a,no,no
mbc096-not-stripped.txt,63,fakamAramahia,fakamArama,hia,no,no
mbc096-not-stripped.txt,38,fakakapeNia,fakakape,Nia,no,no
mbc096-not-stripped.txt,59,rEhitatia,rEhita,tia,no,no
mbc096-not-stripped.txt,57,rEhitatia,rEhita,tia,no,no
mbc096-not-stripped.txt,55,haria,hari,a,no,no
mbc093-not-stripped.txt,0,fakaritea,fakarite,a,no,no
mbc093-not-stripped.txt,2,kaiNa,kai,Na,no,no
mbc093-not-stripped.txt,0,taea,tae,a,no,no
mbc093-not-stripped.txt,0,karaNatia,karaNa,tia,no,no
mbc093-not-stripped.txt,2,kaiNa,kai,Na,no,no
mbc093-not-stripped.txt,2,kaiNa,kai,Na,no,no
mbc058-not-stripped.txt,21,fakahAweatia,fakahAwea,tia,no,no
mbc055-not-stripped.txt,31,tUkinoNia,tUkino,Nia,no,no
mbc060-not-stripped.txt,30,haria,hari,a,no,no
mbc060-not-stripped.txt,28,mahia,mahi,a,no,no
mbc035-not-stripped.txt,2,mauria,mau,ria,no,no
mbc035-not-stripped.txt,2,fakakorea,fakakore,a,no,no
mbc269-not-stripped.txt,35,fAia,fai,a,no,no
mbc269-not-stripped.txt,36,kOrerohia,kOrero,hia,no,no
mbc269-not-stripped.txt,33,kitea,kite,a,no,no
mbc269-not-stripped.txt,34,kUrarirarihia,kUrarirari,hia,no,no
mbc269-not-stripped.txt,35,pEheatia,pEhea,tia,no,no
mbc090-not-stripped.txt,27,tonutia,tonu,tia,no,no
mbc229-not-stripped.txt,49,fakaiNoatia,fakaiNoa,tia,no,no
mbc271-not-stripped.txt,128,hokona,hoko,na,no,no
mbc272-not-stripped.txt,84,hokona,hoko,na,no,no
mbc271-not-stripped.txt,79,penua,penu,a,no,no
mbc272-not-stripped.txt,80,ahatia,aha,tia,no,no
mbc272-not-stripped.txt,84,hokona,hoko,na,no,no
mbc271-not-stripped.txt,52,tukuna,tuku,na,no,no
mbc271-not-stripped.txt,79,kitea,kite,a,no,no
mbc271-not-stripped.txt,37,tOia,tO,ia,no,no
mbc271-not-stripped.txt,71,hokona,hoko,na,no,no
mbc271-not-stripped.txt,37,Afinatia,Afina,tia,no,no
mbc271-not-stripped.txt,94,fetUraNitia,fetUraNi,tia,no,no
mbc271-not-stripped.txt,104,tunua,tunu,a,no,no
mbc120-not-stripped.txt,8,fAia,fai,a,no,no
mbc120-not-stripped.txt,56,Afinatia,Afina,tia,no,no
mbc120-not-stripped.txt,41,pOkia,poki,a,no,no
mbc120-not-stripped.txt,56,tirohia,titiro,hia,no,no
mbc120-not-stripped.txt,41,heria,heri,a,no,no
mbc155-not-stripped.txt,15,fakatinanahia,fakatinana,hia,no,no
mbc155-not-stripped.txt,15,hutia,huti,a,no,no
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,tonohia,tono,hia,no,no
