SubHead,AVP,APV,Key,Diff,DiffAbs,Count
motu-ngangara,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
muku,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
muru,0.008609042752618293,-0.0023584699999886906,0.006250572752629602,0.010967512752606984,0.010967512752606984,12.0
mātakitaki,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
mōhio,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
ngau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
noho,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
ohorere,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
ora,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
oranga,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
oti,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
pai,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
paopao,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
para,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
parau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
patu,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
pei,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
piki,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
pupuri,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
puta,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
pātukituki,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
pīkau,-0.0018793220360484293,0.007722678530647098,0.0058433564945986685,-0.009602000566695527,0.009602000566695527,8.0
pīra,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
pōhiri,0.004000351392512274,-0.0021918136591396937,0.00180853773337258,0.006192165051651967,0.006192165051651967,14.0
pōwhiri,0.004000351392512274,-0.0021918136591396937,0.00180853773337258,0.006192165051651967,0.006192165051651967,14.0
pūremu,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rangahau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rapu,0.008609042752618293,-0.0023584699999886906,0.006250572752629602,0.010967512752606984,0.010967512752606984,12.0
raweke,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
reo,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
rere,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rewherī,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
riro,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rua,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
