Predecessor,mā,nā,Key,Diff,DiffAbs,Count
kōrero,-0.005646247463712091,0.029032123483626007,0.023385876019913918,-0.0346783709473381,0.0346783709473381,12.0
mahi,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
mahue,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
mana,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
mea,-0.013612993111018755,0.09799424118924849,0.08438124807822973,-0.11160723430026724,0.11160723430026724,32.0
mehemea,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
minita,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
moe-rewa,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
motu,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
mutunga,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
māori,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
mōhio,-0.004973248500705871,0.010228667129111368,0.0052554186284054965,-0.01520191562981724,0.01520191562981724,12.0
mōnehu,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
na,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
nanakia,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
noho,-0.00038584623506767053,0.00039679222755185977,1.0945992484189232e-05,-0.0007826384626195304,0.0007826384626195304,16.0
ono,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
pai,0.009174804531276403,-0.004717541337003824,0.004457263194272579,0.013892345868280226,0.013892345868280226,12.0
pea,-0.00019292311753383527,0.00019839611377592988,5.472996242094616e-06,-0.0003913192313097652,0.0003913192313097652,8.0
pukapuka,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
pākeke,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
pānui,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
pēnei,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
pērā,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
pōti,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
pūtea,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
reira,-0.004876786941938954,0.020060542030670876,0.015183755088731921,-0.02493732897260983,0.02493732897260983,10.0
reo,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
riro,0.22723251088360394,-0.041942352890863434,0.1852901579927405,0.26917486377446737,0.26917486377446737,92.0
rua,0.01873545529762048,-0.0048167393938917885,0.01391871590372869,0.023552194691512266,0.023552194691512266,10.0
