SubHead,True,False,Key,Diff,DiffAbs,Count
manaaki,0.0174941812550268,-0.005810896761335792,0.011683284493691007,0.023305078016362592,0.023305078016362592,24.0
mau,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
maumahara,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
mea,0.0049147676258096944,-0.0024487462599596626,0.002466021365850032,0.0073635138857693575,0.0073635138857693575,12.0
mema,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
moe,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
moemoe,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
motu-ngangara,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
muru,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
mōhio,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
nanakia,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
ngau,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
noho,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
ohorere,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
ora,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
pakanga,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
para,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
parau,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
pare,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
patu,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
pei,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
piki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
poipoi,-0.00243254338681258,0.004847986292874281,0.0024154429060617008,-0.007280529679686861,0.007280529679686861,12.0
pupuri,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
puta,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
pākaitore,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
pānui,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
pātukituki,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
pīkau,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
pōhiri,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
pōwhiri,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
rangahau,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
rapu,0.014223624716337558,-0.0028347259100750073,0.011388898806262551,0.017058350626412564,0.017058350626412564,12.0
raru,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
raupatu,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
raweke,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
rere,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
riro,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
rongoā,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
rua,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
rui,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
rūātoki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tae,-0.003219645860584043,0.008020822508572728,0.004801176647988684,-0.011240468369156771,0.011240468369156771,14.0
tahu,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
