SubHead_y,False,True,Key,Diff,DiffAbs,Count
takawaenga,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
taki,-0.0037546712067611236,0.015580515190099991,0.011825843983338868,-0.019335186396861114,0.019335186396861114,8.0
tangi,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
tango,0.003891705349504899,-0.0026915261450043003,0.0012001792045005987,0.006583231494509199,0.006583231494509199,12.0
tapahi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tau,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tauira,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
tautoko,-0.00038760977564723245,0.0004021097763785615,1.4500000731329033e-05,-0.0007897195520257939,0.0007897195520257939,14.0
tiaki,0.0006416122117187999,-0.000591657003020499,4.99552086983009e-05,0.0012332692147392988,0.0012332692147392988,10.0
tirotiro,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
titiro,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
toha,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
tohatoha,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
tohe,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tohi,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
tohu,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
tohutohu,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
tono,-0.004845040932555174,0.008935622936439956,0.004090582003884782,-0.01378066386899513,0.01378066386899513,14.0
tuhi,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
tuitui,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
tuki,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
