None,959,tae,hui
None,960,tae,wā
None,961,whakamātau,whai
None,962,tau,waewae
None,963,whawhai,rekereke
None,964,mārō,whakautu
None,965,titiro,tangata
None,966,tae,whare
None,967,puta,whai
None,968,hoki,mura
None,969,eke,taumata
None,970,tino,tōku
None,971,taka,Māori
None,972,kawa,taringa
None,973,kawa,taringa
None,974,haere,kura
None,975,hoki,kāinga
None,976,whāngai,kōhungahunga
None,977,haere,tākaro
None,978,pā,whakahaere
None,979,tukuna,rātou
None,980,tae,kaupapa
None,981,hoki,poari
None,982,hoki,kāwanatanga
None,983,pā,tēnei
None,984,whiwhi,rātou
None,985,haere,kōrero
None,986,pā,tēnei
None,987,papaki,tēnei
None,988,tae,ēnei
None,989,mihi,koutou
None,990,whoatu,ia
None,991,noho,whakapāpāhi
None,992,whai,haere
None,993,whakahokia,tāone
None,994,tae,tēnā
None,995,haere,awhi
None,996,mihi,koutou
None,997,whakaaro,koutou
None,998,aroha,mea
None,999,uru,*
None,1000,mihi,tēnei
None,1001,mihi,koutou
None,1002,peka,tōna
None,1003,huri,tēnei
None,1004,pātai,ōku
None,1005,haere,pātai
None,1006,whakaae,rangatira
None,1007,hoki,kāinga
None,1008,kōrero,ōku
None,1009,kī,au
None,1010,āhua,kōrero
None,1011,tīmata,pānui
None,1012,manako,penihana
None,1013,tae,wā
None,1014,mea,rātou
None,1015,tangi,wāhanga
None,1016,hoki,hunga
None,1017,mihi,tāngata
None,1018,pā,Ngāi
None,1019,tae,wā
None,1020,haere,tētahi
None,1021,paoho,koutou
None,1022,tū,kōrero
None,1023,whai,whakauru
None,1024,tae,tētahi
None,1025,titiro,taitara
None,1026,mea,rātou
None,1027,pā,hoko
None,1028,noho,kanohi
None,1029,huri,tātou
None,1030,hoki,mahi
None,1031,titiro,āhua
None,1032,hoatu,Tari
None,1033,tono,kōti
None,1034,hoki,kōrero
None,1035,taka,raruraru
None,1036,haere,kimi
None,1037,titiro,tātou
None,1038,tahuri,whānako
None,1039,hoki,tātou
None,1040,waimarie,kuhu
None,1041,haria,whakawā
None,1042,riro,wāhi
None,1043,mau,taringa
None,1044,mau,kakī
None,1045,tae,tūā
None,1046,mutu,whanaunga
None,1047,haere,urupā
None,1048,haere,kai
None,1049,hiahia,pānui
None,1050,huri,tēnei
None,1051,haere,Wai
None,1052,haere,tōpito
None,1053,tau,poro
None,1054,mau,tamariki
None,1055,moumou,au
None,1056,titiro,rātou
None,1057,haere,ētahi
