None,584,haramai,tētahi,wāpu
None,585,huri,tuku,koutou
None,586,mutu,au,tēnei
None,587,mutu,au,hāora
None,588,mate,māua,koe
None,589,tīmata,tekau,ata
None,590,tīmata,tātou,kōrero
None,591,tīmata,koutou,ata
None,592,mātaki,tātou,tētahi
None,593,ora,iwi,wā
None,594,tū,tātou,ao
None,595,hīkoi,rātou,nuku
None,596,kai,wahine,ia
None,597,tū,tēnei,waenganui
None,598,tū,tēnei,waenganui
None,599,tū,tēnei,waenganui
None,600,tīmata,kaupapa,reo
None,601,taea,mahi,kāinga
None,602,tīmata,haurua,kotahi
None,603,mutu,tātou,tēnei
None,604,tīmata,ono,ahiahi
None,605,tīmata,ia,haurua
None,606,tīmata,hui,whare
None,607,haere,hui,marae
None,608,tū,tētahi,Papa-i-o-uru
None,609,tū,tētahi,marae
None,610,katia,tono,tēnei
None,611,waiwai,korokoro,tiro
None,612,wehe,ia,tōna
None,613,kite,ia,kai
None,614,kite,māua,tētahi
None,615,whakatūtuki,māua,māua
None,616,whakawhiti,māua,awa
None,617,kite,māua,tētahi
None,618,whakatūpeke,māua,māua
None,619,whakawhiti,māua,awa
None,620,tuku,kaipuke,moana
None,621,pekepeke,waka,tōna
None,622,hiki,waka,kaiwae
None,623,tangi,ūmere,harurutanga
None,624,takai,tuākana,rātou
None,625,kite,tātou,puaretanga
None,626,mate,koutou,au
None,627,mātaki,tātou,ētahi
None,628,kimi,koe,ētahi
None,629,taea,kōrero,tōna
None,630,momi,ia,tōna
None,631,kite,tātou,Kahurangi
None,632,kite,tātou,Manu
None,633,kite,tātou,whānau
None,634,kite,tātou,whānau
None,635,rongo,tātou,reka
None,636,kite,tātou,ētahi
None,637,hanga,tuarā,hā
None,638,hopu,koe,rātou
None,639,tere,hopu,rātou
None,640,ako,koutou,ētahi
None,641,kite,mātou,rātou
None,642,kai,mātou,rātou
None,643,kite,au,ātaahua
None,644,rongo,au,*
None,645,rongo,au,kōrero
None,646,taea,mau,rātou
