SubHead,i.te,AE,Key,Diff,DiffAbs,Count
meahia,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,11.0
meke,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
mekemeke,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mema,-0.00014748504215064416,0.0002313995986273143,8.391455647667015e-05,-0.0003788846407779585,0.0003788846407779585,27.0
memeha,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,13.0
mene,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,23.0
menetia,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mere,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mihi,-0.0003381426778860897,0.0015916070972475489,0.0012534644193614591,-0.0019297497751336386,0.0019297497751336386,526.0
mihimihi,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,11.0
mikirapu,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mimi,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,13.0
mimiti,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,13.0
mince,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
minenga,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
minita,0.0006128847690843637,-0.00024039944577236664,0.0003724853233119971,0.0008532842148567304,0.0008532842148567304,91.0
miraka,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,13.0
miri,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
mirimiri,7.947867119576885e-05,-6.234982322935476e-05,1.712884796641409e-05,0.0001418284944251236,0.0001418284944251236,15.0
miro,7.947867119576885e-05,-6.234982322935476e-05,1.712884796641409e-05,0.0001418284944251236,0.0001418284944251236,11.0
