Argument,mā,nā,Key,Diff,DiffAbs,Count
putiputi,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pā,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
pāmu,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pānui,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
pātai,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
pēke,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pēpi,-0.002192688831865181,0.008980247891014722,0.0067875590591495415,-0.011172936722879903,0.011172936722879903,10.0
pīpī,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pītau,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pō,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pū,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
pūtea,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
rama,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
rangatahi,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
rangi,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
raro,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
rau-huia,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
reira,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
reo,0.004165117404606684,-0.002132301346466639,0.0020328160581400455,0.006297418751073323,0.006297418751073323,12.0
rino,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
rohe,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
rongo,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
rongo-whakaata,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
roto,-0.00022026025912367573,0.00022552125257408197,5.260993450406236e-06,-0.0004457815116977577,0.0004457815116977577,24.0
runga,0.0034060244976089364,-0.0024909847042340148,0.0009150397933749216,0.005897009201842951,0.005897009201842951,24.0
rā,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
rāhui,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
rākau,0.0069415721158999555,-0.0028429495990596634,0.0040986225168402925,0.009784521714959618,0.009784521714959618,14.0
rātou,0.036714408913110896,-0.011277403629520849,0.025437005283590046,0.04799181254263175,0.04799181254263175,52.0
rāua,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
rāwāhi,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
rīpoata,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
rīwai,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
rōia,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
rōpū,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
rūātoki,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tae,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tai,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
tainui,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
take,0.0014810295398867872,-0.0012636703743991561,0.00021735916548763106,0.0027446999142859436,0.0027446999142859436,22.0
tama-nui-te-rā,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tamaiti,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tamariki,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
tangata,-0.00011013012956183787,0.00011276062628704098,2.630496725203118e-06,-0.00022289075584887885,0.00022289075584887885,12.0
tango,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
taonga,0.0015516251442052025,-0.0012709490034699942,0.0002806761407352083,0.0028225741476751967,0.0028225741476751967,18.0
tapu,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
tara-naki,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
taraka,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tari,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
tatari,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tatau,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
tau,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
tauira,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tauiwi,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tekau,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
