Head,mā,nā,Key,Diff,DiffAbs,Count
konei,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
konā,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
kooti,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
koporeihana,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kore,-0.001579777509341775,0.008497288118429244,0.00691751060908747,-0.010077065627771019,0.010077065627771019,12.0
koro,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
koroua,-0.001857870172561587,0.004996544782267905,0.0031386746097063186,-0.006854414954829492,0.006854414954829492,14.0
kotahi,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
koutou,-0.007571866117561306,0.011575173323257594,0.0040033072056962875,-0.0191470394408189,0.0191470394408189,92.0
ku,0.08858725905854826,-0.030322222969764803,0.05826503608878346,0.11890948202831307,0.11890948202831307,232.0
kuia,-0.0008985732265221676,0.001449970433706225,0.0005513972071840575,-0.0023485436602283926,0.0023485436602283926,10.0
kuini,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
kupu,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
kura,-0.0014388212499057938,0.0030956457194942833,0.0016568244695884895,-0.004534466969400077,0.004534466969400077,12.0
kuratini,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kurī,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kākano,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kāwana,-0.002397621519331873,0.003095111415864782,0.000697489896532909,-0.005492732935196655,0.005492732935196655,44.0
kāwanatanga,-0.0006171138170272388,0.0006638648637717266,4.675104674448777e-05,-0.0012809786807989653,0.0012809786807989653,36.0
kē,-0.0008985732265221676,0.001449970433706225,0.0005513972071840575,-0.0023485436602283926,0.0023485436602283926,10.0
kōhanga,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
