Head,mā,nā,AE
tamariki,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tauira,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
arawa,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
ngāi,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
pita,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
tika,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
pononga,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
tiapanihi,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
whaene,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
whaea,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
pouaka,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
marae,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
rūnanga,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
patricia,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
anō,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
pūtea,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
ringaringa,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
kuini,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
whakapono,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
whare,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
whanaunga,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tēnā,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
konā,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
whā,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
rā,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
komiti,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
hepora,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
roa,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
tūhoe,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
kaupapa,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tāwhiao,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
kupu,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
pīhopa,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
wāhi,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
mana,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
wāhine,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
mahi,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
kōhanga,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
kōrero,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
kaiako,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
wira,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
take,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taokete,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tangi-ora,0.0009389671361502347,0.00202020202020202,0.00145985401459854
ākonga,0.0009389671361502347,0.00202020202020202,0.00145985401459854
rima,0.0018779342723004694,0.00101010101010101,0.00145985401459854
rua,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taha,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tahu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tama-nui-te-rangi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tahi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
rāwiri,0.0009389671361502347,0.00202020202020202,0.00145985401459854
āwhina,0.0018779342723004694,0.00101010101010101,0.00145985401459854
āti,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taonga,0.0009389671361502347,0.00202020202020202,0.00145985401459854
āpiha,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taina,0.0018779342723004694,0.00101010101010101,0.00145985401459854
shelley,0.0009389671361502347,0.00202020202020202,0.00145985401459854
whakaata,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tara-naki,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tīma,0.0018779342723004694,0.00101010101010101,0.00145985401459854
reuben,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tāpapa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
whitu,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tāwhiri-matea,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tēpu,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tērā,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tīkei,0.0018779342723004694,0.00101010101010101,0.00145985401459854
whakataetae,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tāmati,0.0009389671361502347,0.00202020202020202,0.00145985401459854
whakaputa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
uniana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
upoko-o-te-ika,0.0018779342723004694,0.00101010101010101,0.00145985401459854
wai-horoi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
whakamāramatanga,0.0018779342723004694,0.00101010101010101,0.00145985401459854
wai-miri-rangi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
whakahau,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tāone,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tākuta,0.0009389671361502347,0.00202020202020202,0.00145985401459854
taraipiunara,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tianara,0.0009389671361502347,0.00202020202020202,0.00145985401459854
